qid;label
Q3332105;schisms in early Christianity
Q7432080;scholastic wrestling
Q780417;school strike
Q134553409;Schriever wargame
Q685078;Schwingen
Q131426226;scienticide
Q2996078;scientific controversy
Q7433868;Scientology controversies
Q2878361;Scottish Backhold
Q2530348;Scouting controversy and conflict
Q2089676;Sea Cat
Q2461272;Sea Wolf
Q106040085;seabed warfare
Q685067;Seaslug
Q4122585;second-generation warfare
Q133274264;Second-instance court cases in mainland China
Q2352121;sectarismo
Q1797871;Senior Guardian
Q25053005;Sentinel program
Q2273342;Serhildan
Q104212151;series of wars
Q2197458;sex scandal
Q5097924;sexual abuse by UN peacekeepers
Q109314556;sexual abuse in sport
Q7458704;Sexual abuse in St. John's archdiocese
Q7458714;Sexual abuse scandal in Catholic archdiocese of Milwaukee
Q65121085;sexual abuse scandal in Southern Baptist churches
Q65555161;Shandong University buddy controversy
Q7492431;Sheep Wars
Q106889565;Shindenkai
Q4191404;ship-launched anti-aircraft missile
Q10931495;shizoku rebellion
Q11496740;shomu sata
Q7501875;short range air defence
Q4277662;short victorious war
Q11496813;shoryō
Q110419686;show fight
Q2280140;show of force
Q1230072;showdown
Q280502;Shuai jiao
Q11450111;shugo-ryō
Q11521520;shuinchi and kokuinchi
Q11368736;shukun oshikome
Q12041935;siege in the Middle Ages
Q12041934;siege warfare in antiquity
Q3625537;Siegecraft in Ancient Greece
Q2255532;silent protest
Q2238766;silent running
Q126453973;Silesian Uprisings participants
Q1046469;single combat
Q16682549;Single-person picket
Q2279234;sinking exercise
Q11498660;sinking in action
Q4173940;Sistema Unificado de Comunicação por Satélite
Q14523556;sit-in
Q3118398;sitdown strike
Q909470;ski warfare
Q4301459;Sky Bow
Q691737;Skyguard System
Q109654755;Skyranger 30
Q7539194;slave raid
Q16889816;slow genocide
Q31351;slowdown
Q32360778;SM-1
Q11464774;small claims action
Q105425009;Social media censorship controversy
Q12230891;social scandal
Q126165959;social unrest
Q7551432;Social unrest in Trinidad and Tobago
Q131427213;Socio-environmental conflict due to “El Rabanal” real estate megaproject in Algarrobo, Valparaíso Region
Q131720751;Socio-environmental conflict due to “El Torito” tailings dam at El Soldado Mine, Valparaíso Region
Q118488481;Socio-environmental conflict due to “Las Vizcachitas” mining project in Putaendo, Valparaíso Region
Q131470831;Socio-environmental conflict due to hydroelectric power station Alto Maipo, San José de Maipo, Región Metropolitana de Santiago
Q131142088;socio-environmental conflict due to mega-mining in Andalgalá, Catamarca
Q131142090;socio-environmental conflict due to mega-mining in Antofagasta de las Sierras, Catamarca
Q131142091;socio-environmental conflict due to mega-mining in Esquel, Chubut
Q131142089;socio-environmental conflict due to mega-mining in Fiambalá, Catamarca.
Q119688239;Socio-environmental conflict due to sacrifice zone in Mejillones, Región of Antofagasta
Q131426967;Socio-environmental conflict due to sacrifice zone in Tocopilla, Región of Antofagasta
Q131427316;Socio-environmental conflict due to the “Maratué” real estate megaproject in Puchuncaví, Valparaíso Region
Q131426835;Socio-environmental conflict due to Thermal power station Andino in Mejillones, Region of Antofagasta
Q131350434;Socio-environmental conflict due to Thermal power station Angamos in Mejillones, Region of Antofagasta
Q131426751;Socio-environmental conflict due to thermal power station Cochrane in Mejillones, Region of Antofagasta
Q131470805;Socio-environmental conflict due to thermal power station Guacolda in Huasco, Region of Atacama
Q131350402;Socio-environmental conflict due to Thermal power station Hornitos in Mejillones, Region of Antofagasta
Q131349326;Socio-environmental conflict due to Thermal power station Pacífico in Punta Patillo, Region of Tarapacá
Q131350339;Socio-environmental conflict due to Thermal power station Patache in Puerto Patache, Region of Tarapacá
Q131470770;Socio-environmental conflict due to thermal power station Punta Alcalde in Huasco, Region of Atacama
Q131470849;Socio-environmental conflict due to thermal power station, Constitución, Region of Maule
Q118488370;Socio-environmental conflict due to urbanization in Dunas de Concón, Valparaíso Region
Q131427383;Socio-environmental conflict due to urbanization in Los Molles, Valparaíso Region
Q131303919;Socio-environmental conflict due to urbanization in Punta de Fraile, Valparaíso Region
Q131720752;Socio-environmental conflict over mining exploration project in Parque Andino Juncal, Valparaiso Region
Q131427890;Socio-environmental conflict over real estate projects in Paso Hondo, Valparaíso Region
Q129093608;Socio-environmental conflict over real estate projects in Tunquén, Valparaíso Region
Q130373896;Socio-environmental conflict over San Antonio external megaport, Valparaíso Region
Q131427564;Socio-environmental conflict over social housing megaproject in Quebrada El Olivar, Valparaíso Region
Q131427436;Socio-environmental conflict over the “Punta Pite” real estate project in Papudo, Valparaíso Region
Q119688099;Socio-environmental conflicts in Chile
Q7554388;Software wars
Q11703975;Sokamuturra
Q20045350;sōkoku-ikki
Q125107;solidarity action
Q117863659;solved cold case
Q4429478;Sosna-R
Q17069171;South Korean nuclear scandal
Q136305847;Southern Griffin
Q64044640;Soviet citizen movement
Q106635994;Soviet public trials against foreign military perpetrators (1943—1949)
Q2306437;Spada
Q12055541;Spanilé jízdy
Q2640883;Spanish-style bullfighting
Q115755337;spelling dispute
Q55137157;spinning bee
Q7579940;sports riot
Q2706803;Sprint
Q1157008;Spyder
Q106485879;Squatting in Cambodia
Q106085603;Squatting in Chile
Q110004630;Squatting in Croatia
Q105925311;Squatting in Fiji
Q106129858;Squatting in Guyana
Q106209549;Squatting in Honduras
Q106209475;Squatting in Iran
Q106405978;Squatting in Pakistan
Q117798899;Squatting in Romania
Q105906676;Squatting in Serbia
Q106245835;Squatting in Sudan
Q106113509;Squatting in Suriname
Q106485870;Squatting in Thailand
Q2155825;squatting in the Netherlands
Q106512281;Squatting in Tunisia
Q105990703;Squatting in Vanuatu
Q106001160;Squatting in Zimbabwe
Q715774;Ssireum
Q1888541;Starburst
Q2302329;Starstreak
Q1639256;stasis
Q117389020;state in American Civil War
Q3406090;state-sponsored terrorism
Q17107941;Stay away
Q116146212;steel industry strike
Q923844;Stenka
Q19878453;sterilization of Native American women
Q30895192;Stinger Alternate
Q18657996;stopping the market
Q55807387;Storms in the South
Q7621825;strategic bombing during World War I
Q72850604;street blockade
Q99959001;street name controversy
Q115903339;street railroad strike
Q7623077;Streetcar strikes in the United States
Q160810;Strela 2
Q89065286;strikes during the COVID-19 pandemic
Q122624883;strong style
Q7627882;student riot
Q11612571;Subcritical experiment
Q1757301;submarine warfare
Q196092;submission
Q1999695;Submission wrestling
Q196249;Submissões de wrestling profissional
Q1060330;subversão
Q15813155;succession controversy
Q7633294;Sudan Air Campaign
Q3502977;suerte
Q133441842;Suicide cases in mainland China
Q360632;suicide mission
Q59369;SummerSlam 2003
Q2293072;Suplex
Q1310978;suppression of enemy air defenses
Q114079647;Supreme Court of Ghana decision
Q96251253;Supreme Court of Israel decision
Q125677284;Supreme court of Nigeria case
Q3560882;surface warfare
Q336710;surgical strike
Q117304574;Sushi terrorism
Q56704157;swiss federal court decision
Q4448844;T382
Q22101363;Ta-zhi case
Q60617;Tables, Ladders, and Chairs match
Q3997846;tactical airlift
Q96407570;Taer 2
Q636270;Taifun
Q119586659;Taiwan Constitutional Court judgement
Q123398707;Taiwan Constitutional Court ruling
Q119586705;Taiwan Constitutional Court's Decisions
Q28169595;Talaash
Q135467957;tank battle
Q3981030;Taran
Q20061441;tarracá
Q6024855;tax riot
Q11497058;te-waza
Q116885608;teacher strike
Q7691643;Team conflict
Q718893;teatro de operações
Q649595;Tegumi
Q7698940;temporal war
Q112119704;Tencent controversies
Q3518201;tenência
Q1685411;tenryō
Q17225815;tenshin
Q25906438;tentativa de golpe de Estado
Q221382;Tentativa de golpe de Estado na União Soviética em 1991
Q29933858;territorial claim
Q1503926;territorial claims in the Arctic
Q19705370;territorial dispute of Russia
Q20982973;territorial disputes of Japan
Q18409471;territorial disputes of Russia
Q4456192;territorial disputes of the People's Republic of China
Q118907918;territorial disputes of the Republic of China
Q28710139;territorial expansion
Q2342867;Terrorismo palestino
Q124004907;Terrorist attacks against Israelis during the First Intifada
Q110350343;terrorist attacks against Israelis in 2022
Q116455963;terrorist attacks against Israelis in 2023
Q210112;teste nuclear
Q11499348;textbook controversy
Q116225248;textile industry strike
Q793818;The Battles of Beruna
Q125552320;The Church of Jesus Christ of Latter-day Saints theology
Q4499387;The Holocaust in Austria
Q2478315;The Holocaust in Belarus
Q10293068;The Holocaust in Bohemia and Moravia
Q85227623;The Holocaust in East Upper Silesia
Q4499404;The Holocaust in France
Q3188158;The Holocaust in Germany
Q4499391;The Holocaust in Greece
Q926080;the Holocaust in Hungary
Q4499393;The Holocaust in Italy
Q4499395;The Holocaust in Latvia
Q4499394;The Holocaust in Luxembourg
Q60745735;The Holocaust in Slovakia
Q4137724;The Holocaust in the Baranavichy District
Q19692663;The Holocaust in the Byaroza District
Q4137729;The Holocaust in the Byerazino District
Q117066804;The Holocaust in the Crimea
Q21559019;The Holocaust in the Kamyenyets District
Q5863813;The policy of exporting the Islamic Revolution
Q12005316;theater brawl
Q104705174;theological controversy
Q2419033;theomachy
Q7782444;Theory of obligationes
Q4122599;third-generation warfare
Q118412010;This profile has had a significant increase in reviews
Q24841189;Tien Kung Ⅱ
Q24841188;Tien Kung Ⅲ
Q2406205;Tiroteio
Q7809293;Tirthika
Q20755546;tithing in Mormonism
Q11490312;tokusei-ikki
Q116961260;Tor-M2DT
Q16616368;toreo cómico
Q6149124;Toreo de la vincha
Q1770779;Toro embolado
Q5861858;Toro enmaromado
Q21027484;Toro-piscine
Q2444392;torpedo
Q50295027;torpedo attack
Q18015660;torpedo bombing
Q184940;tourada
Q2374581;Tourada
Q1631955;Tourada à corda
Q16049382;TPAJAX
Q100327107;trademark dispute
Q49095175;träffning
Q107453693;Trans* March
Q2736535;transmissões
Q11561932;transoceanic bombing
Q256905;transporte aéreo tático
Q811531;Tree sitting
Q123348093;trial of Françoise Bonvin
Q1961430;Trials against Nazi Crimes
Q2375061;triângulo
Q14705398;Trinity Baptist Church sex scandal (Concord, New Hampshire)
Q12432833;Trishul
Q11422932;tsuchi-ikki
Q11070774;Tsui Po-ko case
Q9362661;Tumult
Q7854874;turf war
Q113510194;Turkmen Goresh
Q21213456;TV reality show controversy
Q21213179;TV show controversy
Q7859368;Two by Twos
Q16145203;Type 11 Surface-to-Air Missile
Q385077;Type 3 Chū-SAM
Q863729;Type 91 (míssel)
Q863075;Type 93 (míssel)
Q111448505;type of protest
Q6994626;Tzefa Shiryon
Q11393845;uchi-geba
Q11497203;uchikowashi
Q1771272;Uki-otoshi
Q129550387;Ukraine and electronic warfare
Q498182;Ulchi-Freedom Guardian
Q2302835;Umkhonto
Q3058675;underground nuclear weapons test
Q4367188;underwater nuclear explosion
Q7883883;underwater warfare
Q818545;United Nations Observer Mission
Q3474978;United States Army beef scandal
Q85811481;United States presidential impeachment
Q19692072;United States Supreme Court decision
Q55636710;unity of the intellect
Q7897387;unrest
Q11519624;unsolved crime
Q19393843;unsolved murder
Q7900161;urban riot
Q42531060;USA Gymnastics sex abuse scandal
Q17028978;use of chemical weapons in the Syrian civil war
Q11570011;ushi no tsunotsuki
Q6652925;Utthalum
Q11488325;uwanari-uchi
Q38623210;V-611
Q18487092;V-750
Q105750245;vaccinegate
Q4382293;Valais witch trials
Q5981996;Valtu
Q467033;vendeta
Q98936066;Venezuela e o terrorismo patrocinado pelo Estado
Q12072096;VERTREP
Q137030;Vi et armis
Q1412362;video game controversies
Q122937574;video game controversy
Q2006536;Videoscandals
Q13634374;violência étnica
Q6589923;violência étnica no Sudão do Sul
Q2001756;violência no futebol
Q3774758;violência sectária
Q7444557;violência sectária entre muçulmanos
Q1751831;Violência urbana
Q115431196;violent conflict
Q11515007;violent revolution
Q13048421;Visigothic arianism
Q7936275;visit, board, search, and seizure
Q6812827;voto de protesto
Q115804274;VSHORAD
Q113541081;VSM-1 mine system
Q23058456;Walk to Work protest
Q685160;Walkout
Q11353805;Wan An Exercise
Q127260473;war
Q1265353;war crimes trial
Q5666568;war in the World of Ice and Fire
Q3119022;war of pacification
Q123517489;war on the woods
Q105370834;war phase
Q104875634;Warfare in Sumer
Q5887925;Wars between the valar and Melkor
Q130525743;wars of individual sovereign
Q620347;Wasserfall
Q2464727;water conflict
Q7973470;Water conflict in the Middle East and North Africa
Q136400771;weaponization of information
Q4543437;Wednesday Demonstration
Q98246204;Wheel war
Q7993766;Whipsaw strike
Q31074642;Whistling at the Spanish national anthem
Q105151488;Wikipedia controversy
Q111750056;Windsor Witches
Q1299275;WINTEX
Q110923162;witch hunts in Davensberg
Q19902850;witch trial
Q97135699;Witch trials in Nysa
Q86662406;Witch Trials in Vaud
Q66458810;witchcraft investigation
Q8029782;wolf-baiting
Q111916156;women's freestyle wrestling
Q11446353;women's professional wrestling
Q12057768;world communist revolution
Q8037702;wrecking amendment
Q131359;wrestling profissional
Q1785362;Wristlock
Q131624844;wrongful conviction
Q113994878;Wycliffism
Q18204913;X Band Satellite Communication
Q104518955;Xiaomi controversies
Q3820346;XLIM-49 Nike-Zeus
Q101145633;XLIM-49A Nike-Zeus
Q8046249;Ya Zahra air defense system
Q296721;yağlı güreş
Q123155303;Yaroslav Hunka scandal
Q528542;Yáwar Fiesta
Q11362482;yonaoshi-ikki
Q120379823;youth unrest
Q51390076;Zagłebie Critical Mass
Q131918241;zandaqa
Q10553801;Zapad
Q192028;Zersetzung
